run,metric,size_b,packets,min_cyc,avg_cyc,p50_cyc,p99_cyc,p50_us,mbit_s
1,loopback-udp-rtt,64,,69286,72944,72454,82388,30.189,
1,loopback-udp-rtt,512,,69802,73854,73342,106882,30.559,
1,loopback-udp-rtt,1400,,69678,73186,72866,81610,30.361,
1,wire-tx-bulk,16384,,,,1004673304,,418613.877,0.313
2,loopback-udp-rtt,64,,68692,72244,72544,78978,30.227,
2,loopback-udp-rtt,512,,69060,74334,73626,92518,30.677,
2,loopback-udp-rtt,1400,,69716,73968,74662,83884,31.109,
2,wire-tx-bulk,16384,,,,1004576912,,418573.713,0.313
3,loopback-udp-rtt,64,,69054,73412,73118,96164,30.466,
3,loopback-udp-rtt,512,,69578,73403,73470,84886,30.612,
3,loopback-udp-rtt,1400,,69932,74516,74618,83920,31.091,
3,wire-tx-bulk,16384,,,,1004683846,,418618.269,0.313
3,wire-rr-rtt,64,,903746120,11501327011,1076205820,70030683744,448419.092,
